flight_id,airline,aircraft_type,arrival,departure,turnaround_minutes,priority,country_type
PK101,PIA,A320,2025-12-03 00:10,2025-12-03 02:00,45,2,domestic
PK212,PIA,B777,2025-12-03 00:40,2025-12-03 03:00,60,1,international
FJ301,FlyJinnah,A320,2025-12-03 01:00,2025-12-03 02:20,40,2,domestic
IA204,Iraqi Airways,B737,2025-12-03 01:30,2025-12-03 03:40,50,1,international
EY221,Etihad,A321,2025-12-03 01:55,2025-12-03 03:30,50,1,international
QR601,Qatar Airways,A350,2025-12-03 02:10,2025-12-03 04:40,60,1,international
EK603,Emirates,B777,2025-12-03 02:30,2025-12-03 05:10,70,1,international
SV705,Saudia,A320,2025-12-03 02:55,2025-12-03 05:15,50,1,international
PK303,PIA,A320,2025-12-03 03:10,2025-12-03 04:45,40,2,domestic
PF121,AirSial,A320,2025-12-03 03:40,2025-12-03 05:10,45,2,international
FJ402,FlyJinnah,A320,2025-12-03 04:00,2025-12-03 05:40,40,2,domestic
PK755,PIA,B777,2025-12-03 04:25,2025-12-03 06:40,60,1,international
TK708,Turkish Airlines,A330,2025-12-03 04:50,2025-12-03 07:10,60,1,international
ET674,Ethiopian,B787,2025-12-03 05:00,2025-12-03 07:20,60,1,international
PK304,PIA,A320,2025-12-03 05:30,2025-12-03 07:00,45,2,domestic
ER502,SereneAir,B737,2025-12-03 05:55,2025-12-03 07:20,45,2,domestic
FZ333,FlyDubai,B737,2025-12-03 06:10,2025-12-03 08:30,55,1,international
EK611,Emirates,B777,2025-12-03 06:25,2025-12-03 08:50,65,1,international
EY222,Etihad,A321,2025-12-03 06:40,2025-12-03 08:20,50,1,international
QR603,Qatar Airways,A350,2025-12-03 06:55,2025-12-03 09:20,60,1,international
PK305,PIA,A320,2025-12-03 07:10,2025-12-03 08:40,40,2,domestic
FJ741,FlyJinnah,A320,2025-12-03 07:50,2025-12-03 09:20,40,2,domestic
AZ001,AizazAir,A350,2025-12-03 08:10,2025-12-03 11:00,60,1,international
ER503,SereneAir,B737,2025-12-03 08:30,2025-12-03 10:00,45,2,domestic
PF122,AirSial,A320,2025-12-03 08:50,2025-12-03 10:15,45,2,domestic
SV719,Saudia,A321,2025-12-03 09:00,2025-12-03 11:20,50,1,international
QR605,Qatar Airways,A350,2025-12-03 09:20,2025-12-03 11:45,60,1,international
EK615,Emirates,B777,2025-12-03 09:35,2025-12-03 12:00,60,1,international
PK306,PIA,A320,2025-12-03 10:00,2025-12-03 11:40,40,2,domestic
PA401,AirBlue,A321,2025-12-03 10:20,2025-12-03 12:10,50,2,domestic
ET676,Ethiopian,B787,2025-12-03 10:40,2025-12-03 13:05,60,1,international
PK761,PIA,B777,2025-12-03 10:55,2025-12-03 13:20,60,1,international
FZ335,FlyDubai,B737,2025-12-03 11:15,2025-12-03 13:40,55,1,international
ER504,SereneAir,B737,2025-12-03 11:30,2025-12-03 12:55,45,2,domestic
PF123,AirSial,A320,2025-12-03 11:50,2025-12-03 13:20,45,2,domestic
PK307,PIA,A320,2025-12-03 12:05,2025-12-03 13:40,40,2,domestic
SV721,Saudia,A321,2025-12-03 12:30,2025-12-03 14:40,50,1,international
QR607,Qatar Airways,A350,2025-12-03 12:50,2025-12-03 15:10,60,1,international
